"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"141","Axis & Allies","None","Strategy and War Game","Intermediate to Advanced","A strategy board game depicting World War II, where players command military forces to achieve victory.","5","12+","2-4 hours","Game board; Army pieces; Cards; Dice; Tokens","Achieve victory through military conquest, economic control, and strategic alliances.","Strategic planning; Resource management; Diplomacy","15 minutes","Tabletop","Low","Develops strategic thinking, historical awareness, and negotiation skills","Card Games"
"142","Blokus","None","Abstract Game","Beginner to Intermediate","Players take turns placing pieces on the board, with the goal of placing as many of their pieces as possible.","4","7+","20-30 minutes","Blokus game board; Colored pieces","Place all your pieces on the board while blocking opponents.","Spatial reasoning; Strategic planning; Problem-solving","2 minutes","Tabletop","Low","Develops spatial reasoning and strategic planning","Card Games"
"143","Qwirkle","None","Abstract Game","Beginner to Intermediate","Players match tiles based on color or shape to score points.","4","6+","30-45 minutes","Qwirkle tiles","Score the most points by creating lines of matching shapes or colors.","Pattern recognition; Strategic planning; Problem-solving","2 minutes","Tabletop","Low","Enhances pattern recognition and strategic thinking","Card Games"
"144","The Legend of Zelda: Breath of the Wild","Zelda BOTW","Action-Adventure","Intermediate","An open-world game where players explore, solve puzzles, and battle enemies in the kingdom of Hyrule.","1","10+","50-200 hours","Nintendo Switch console; Game cartridge or download","Defeat Calamity Ganon to save Hyrule.","Problem-solving; Exploration; Strategic thinking","Installation time (~10 minutes)","Home gaming setup","Low","Enhances critical thinking and problem-solving skills","Video Games"
"145","Minecraft","None","Sandbox","Beginner to Advanced","A game where players build and explore infinite worlds, crafting tools and items to survive and create.","Unlimited (on servers)","7+","Variable","Computer or console; Game software","Survive and build structures in a block-based world.","Creativity; Resource management; Planning","Installation time (~10 minutes)","Home gaming setup","Low","Encourages creativity and basic programming concepts","Video Games"
"146","Fortnite","None","Battle Royale","Beginner to Advanced","A multiplayer game where players build structures and battle to be the last one standing.","100","13+","20-30 minutes per match","Computer or console; Game software","Be the last player or team remaining.","Strategic thinking; Reflexes; Teamwork","Installation time (~10 minutes)","Home gaming setup","Moderate","Improves strategic planning and teamwork","Video Games"
"147","Overwatch","None","First-Person Shooter (FPS)","Intermediate","A team-based shooter game where players choose heroes with unique abilities to complete objectives.","12","13+","10-20 minutes per match","Computer or console; Game software","Work with your team to complete objectives and defeat the opposing team.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Enhances teamwork and strategic thinking","Video Games"
"148","Stardew Valley","None","Simulation RPG","Beginner to Intermediate","A farming simulation game where players manage a farm, interact with townspeople, and explore.","1","10+","50+ hours","Computer or console; Game software","Restore and manage your inherited farm.","Resource management; Planning; Social interaction","Installation time (~10 minutes)","Home gaming setup","Low","Promotes planning and time management skills","Video Games"
"149","Animal Crossing: New Horizons","None","Life Simulation","Beginner","A game where players develop a deserted island into a thriving community, interacting with animal villagers.","1","3+","Variable","Nintendo Switch console; Game cartridge or download","Build and customize your island paradise.","Creativity; Planning; Social interaction","Installation time (~10 minutes)","Home gaming setup","Low","Encourages creativity and social interaction","Video Games"
"150","Call of Duty: Modern Warfare","None","First-Person Shooter (FPS)","Intermediate to Advanced","A military shooter game with both single-player campaigns and multiplayer modes.","150","17+","Variable","Computer or console; Game software","Complete missions and objectives; defeat opposing players in multiplayer.","Reflexes; Strategic thinking; Teamwork","Installation time (~10 minutes)","Home gaming setup","Moderate","Enhances strategic thinking and teamwork","Video Games"
"151","Assassin's Creed Valhalla","None","Action-Adventure RPG","Intermediate","An open-world game set in the Viking era, where players explore and complete quests.","1","17+","60+ hours","Computer or console; Game software","Lead Viking raids and build your settlement.","Strategic planning; Exploration; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Promotes historical interest and strategic thinking","Video Games"
"152","Among Us","None","Social Deduction","Beginner","A multiplayer game where players work together to complete tasks on a spaceship, while impostors try to eliminate them.","15","10+","10-15 minutes per match","Computer or mobile device; Game software","Identify and vote out the impostors or sabotage the crew as an impostor.","Social deduction; Teamwork; Deception","2 minutes","Home gaming setup","Low","Enhances social deduction and teamwork skills","Video Games"
"153","Rocket League","None","Sports","Beginner to Advanced","A game that combines soccer with rocket-powered cars, allowing players to perform aerial stunts.","8","7+","5-10 minutes per match","Computer or console; Game software","Score more goals than the opposing team using rocket-powered cars.","Hand-eye coordination; Teamwork; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Improves coordination and teamwork","Video Games"
"154","Portal 2","None","Puzzle-Platformer","Intermediate","A game where players solve puzzles by placing portals and teleporting between them.","2","10+","8-10 hours","Computer or console; Game software","Navigate through test chambers using portals to solve puzzles.","Problem-solving; Spatial reasoning; Creativity","Installation time (~10 minutes)","Home gaming setup","Low","Enhances problem-solving and critical thinking skills","Video Games"
"155","The Witcher 3: Wild Hunt","None","Action RPG","Advanced","An open-world role-playing game where players hunt monsters and make choices that affect the story.","1","17+","100+ hours","Computer or console; Game software","Complete quests and make choices that impact the game world.","Strategic thinking; Decision-making; Exploration","Installation time (~10 minutes)","Home gaming setup","Low","Promotes strategic planning and moral decision-making","Video Games"
"156","Mario Kart 8 Deluxe","None","Racing","Beginner to Intermediate","A racing game featuring characters from the Mario franchise, with various tracks and power-ups.","12","3+","5-10 minutes per race","Nintendo Switch console; Game cartridge or download","Finish races in first place using driving skills and power-ups.","Hand-eye coordination; Reflexes; Strategy","2 minutes","Home gaming setup","Moderate","Improves coordination and reaction time","Video Games"
"157","FIFA 22","None","Sports Simulation","Beginner to Advanced","A football (soccer) simulation game featuring real teams and players.","22","3+","Variable","Computer or console; Game software","Win matches and tournaments by scoring more goals than the opponent.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Enhances strategic thinking and understanding of soccer","Video Games"
"158","League of Legends","LoL","Multiplayer Online Battle Arena (MOBA)","Intermediate to Advanced","A competitive game where two teams battle to destroy the other's Nexus (base).","10","13+","30-45 minutes per match","Computer; Game software","Work with your team to destroy the enemy's Nexus.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Develops teamwork and strategic planning skills","Video Games"
"159","Hollow Knight","None","Action-Adventure Metroidvania","Intermediate","A 2D game where players explore a vast underground world, battling creatures and discovering secrets.","1","10+","30-40 hours","Computer or console; Game software","Explore the kingdom of Hallownest and uncover its mysteries.","Exploration; Problem-solving; Precision","Installation time (~10 minutes)","Home gaming setup","Low","Enhances exploration skills and problem-solving","Video Games"
"160","Celeste","None","Platformer","Intermediate","A challenging platformer where players climb a mountain while overcoming obstacles and personal struggles.","1","10+","10-15 hours","Computer or console; Game software","Reach the summit of Celeste Mountain.","Precision; Problem-solving; Perseverance","Installation time (~10 minutes)","Home gaming setup","Low","Promotes perseverance and problem-solving skills","Video Games"
"161","God of War (2018)","None","Action-Adventure","Intermediate to Advanced","Players control Kratos in a journey with his son Atreus through Norse mythology.","1","17+","20-30 hours","PlayStation console; Game software","Complete quests and unravel the story of Kratos and Atreus.","Strategic combat; Exploration; Storytelling","Installation time (~10 minutes)","Home gaming setup","Low","Enhances strategic thinking and cultural interest","Video Games"
"162","Super Smash Bros. Ultimate","None","Fighting","Beginner to Advanced","A crossover fighting game featuring characters from various Nintendo franchises.","8","10+","Variable","Nintendo Switch console; Game cartridge or download","Defeat opponents by knocking them off the stage.","Reflexes; Strategy; Hand-eye coordination","2 minutes","Home gaming setup","Moderate","Improves reflexes and strategic planning","Video Games"
"163","Elden Ring","None","Action RPG","Advanced","An open-world game where players explore and battle through a fantasy realm to restore the Elden Ring.","1","17+","60+ hours","Computer or console; Game software","Defeat bosses and unravel the mysteries of the Elden Ring.","Strategic combat; Exploration; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Enhances strategic thinking and problem-solving","Video Games"
"164","Tetris Effect","None","Puzzle","Beginner to Intermediate","A reinvention of the classic Tetris game with immersive visuals and music.","1","3+","Variable","Computer or console; Game software","Clear lines by strategically placing falling blocks.","Spatial reasoning; Reflexes; Pattern recognition","2 minutes","Home gaming setup","Low","Develops spatial awareness and pattern recognition","Video Games"
"165","Final Fantasy VII Remake","None","Action RPG","Intermediate to Advanced","A reimagined version of the classic RPG, combining real-time action with strategic combat.","1","13+","40+ hours","PlayStation console; Game software","Fight against the Shinra corporation to save the planet.","Strategic combat; Storytelling; Exploration","Installation time (~10 minutes)","Home gaming setup","Low","Enhances strategic thinking and appreciation for storytelling","Video Games"
"166","The Legend of Zelda","None","Action and Adventure","Beginner to Intermediate","An action-adventure game where players control Link on a quest to save Princess Zelda and the kingdom of Hyrule.","1","10+","20+ hours","Nintendo console; Game cartridge or download","Defeat Ganon and rescue Princess Zelda.","Problem-solving; Exploration; Strategic thinking","Minimal","Home gaming setup","Low","Enhances critical thinking and problem-solving skills","Video Games"
"167","Grand Theft Auto V","GTA V","Action and Adventure","Mature","An open-world game where players explore the city of Los Santos, completing missions and engaging in various activities.","30 (online)","17+","Variable","Computer or console; Game software","Complete missions and explore the open world.","Strategic thinking; Decision-making; Reflexes","Installation time (~10 minutes)","Home gaming setup","Low","Enhances strategic thinking and decision-making skills","Video Games"
"168","Assassin's Creed","None","Action and Adventure","Intermediate","An action-adventure game series where players experience historical settings through the memories of assassins.","1","17+","20+ hours per game","Computer or console; Game software","Complete missions and uncover the story of the Assassins and Templars.","Strategic thinking; Stealth; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Promotes historical interest and strategic thinking","Video Games"
"169","Final Fantasy VII","None","Role-Playing Game (RPG)","Intermediate","A role-playing game where players follow Cloud Strife in a quest against the Shinra corporation.","1","13+","40+ hours","Computer or console; Game software","Defeat the antagonists and save the planet.","Strategic combat; Storytelling; Exploration","Installation time (~10 minutes)","Home gaming setup","Low","Enhances strategic thinking and appreciation for storytelling","Video Games"
"170","The Witcher 3: Wild Hunt","None","Role-Playing Game (RPG)","Advanced","An open-world RPG where players control Geralt of Rivia in a quest to find his adopted daughter.","1","17+","100+ hours","Computer or console; Game software","Complete quests and make choices that impact the game world.","Strategic thinking; Decision-making; Exploration","Installation time (~10 minutes)","Home gaming setup","Low","Promotes strategic planning and moral decision-making","Video Games"
"171","The Elder Scrolls V: Skyrim","Skyrim","Role-Playing Game (RPG)","Intermediate to Advanced","An open-world RPG where players explore the land of Skyrim, battling dragons and completing quests.","1","17+","100+ hours","Computer or console; Game software","Defeat Alduin and complete various quests.","Exploration; Strategic thinking; Character development","Installation time (~10 minutes)","Home gaming setup","Low","Enhances exploration skills and strategic planning","Video Games"
"172","Halo: Infinite","None","First-Person Shooter (FPS)","Intermediate","A sci-fi shooter game where players control Master Chief in a battle against alien forces.","24","13+","Variable","Xbox console or PC; Game software","Complete the campaign and engage in multiplayer battles.","Reflexes; Strategic thinking; Teamwork","Installation time (~10 minutes)","Home gaming setup","Moderate","Enhances teamwork and strategic thinking","Video Games"
"173","Counter-Strike: Global Offensive","CS:GO","First-Person Shooter (FPS)","Intermediate to Advanced","A competitive shooter game where teams of terrorists and counter-terrorists compete to complete objectives.","10","17+","30-90 minutes per match","Computer; Game software","Complete objectives or eliminate the opposing team.","Teamwork; Reflexes; Strategic planning","Installation time (~10 minutes)","Home gaming setup","Moderate","Develops teamwork and strategic planning skills","Video Games"
"174","The Sims 4","None","Simulation","Beginner to Intermediate","A life simulation game where players create and control virtual people and build homes.","1","12+","Variable","Computer or console; Game software","Manage the lives and homes of virtual characters.","Creativity; Planning; Resource management","Installation time (~10 minutes)","Home gaming setup","Low","Encourages creativity and planning skills","Video Games"
"175","Microsoft Flight Simulator","None","Simulation","Intermediate","A flight simulation game that allows players to pilot various aircraft around the world.","1","10+","Variable","Computer or Xbox console; Game software","Pilot aircraft and explore realistic environments.","Navigation; Precision; Planning","Installation time (~10 minutes)","Home gaming setup","Low","Enhances understanding of aviation and geography","Video Games"
"176","FIFA 22","None","Sports Game","Beginner to Advanced","A football (soccer) simulation game featuring real teams and players.","22","3+","Variable","Computer or console; Game software","Win matches and tournaments by scoring more goals than the opponent.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Enhances strategic thinking and understanding of soccer","Video Games"
"177","NBA 2K22","None","Sports Game","Beginner to Advanced","A basketball simulation game featuring real teams and players from the NBA.","10","3+","Variable","Computer or console; Game software","Win matches and tournaments by scoring more points than the opponent.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Improves understanding of basketball and strategic thinking","Video Games"
"178","Madden NFL 22","None","Sports Game","Beginner to Advanced","An American football simulation game featuring NFL teams and players.","6","3+","Variable","Computer or console; Game software","Win games and championships by scoring touchdowns and field goals.","Teamwork; Strategic planning; Reflexes","Installation time (~10 minutes)","Home gaming setup","Moderate","Enhances understanding of football and strategic planning","Video Games"
"179","Tetris","None","Puzzle Game","Beginner","A classic puzzle game where players arrange falling blocks to clear lines.","1","3+","Variable","Computer, console, or mobile device; Game software","Clear lines by strategically placing falling blocks.","Spatial reasoning; Reflexes; Pattern recognition","2 minutes","Home gaming setup","Low","Develops spatial awareness and problem-solving skills","Video Games"
"180","Portal","None","Puzzle-Platformer","Intermediate","A game where players solve puzzles by placing portals and teleporting between them.","1","10+","3-5 hours","Computer or console; Game software","Navigate through test chambers using portals to solve puzzles.","Problem-solving; Spatial reasoning; Creativity","Installation time (~10 minutes)","Home gaming setup","Low","Enhances problem-solving and critical thinking skills","Video Games"
"181","Stardew Valley","None","Puzzle and Indie Game","Beginner to Intermediate","A farming simulation game where players manage a farm, interact with townspeople, and explore.","1","10+","50+ hours","Computer or console; Game software","Restore and manage your inherited farm.","Resource management; Planning; Social interaction","Installation time (~10 minutes)","Home gaming setup","Low","Promotes planning and time management skills","Video Games"
"182","Brain Quest","None","Trivia Game","Beginner to Intermediate","A question-and-answer game designed to challenge kids on various subjects like math, science, and language arts.","6","Unknown","30-60 minutes","Brain Quest question cards","Answer questions correctly to earn points and win the game.","Critical thinking; Knowledge recall; Listening skills","2 minutes","Tabletop","Low","Enhances general knowledge and critical thinking skills","Educational Games"
"183","Math Blaster","None","Educational Video Game","Beginner to Intermediate","A video game that combines arcade-style action with math problems to solve.","1","Unknown","Variable","Computer or console; Game software","Solve math problems to progress through the game levels.","Math skills; Problem-solving; Reflexes","Installation time (~10 minutes)","Home gaming setup","Low","Improves math proficiency and problem-solving skills","Educational Games"
"184","The Oregon Trail","None","Educational Video Game","Beginner to Intermediate","A simulation game where players manage resources to travel the historic Oregon Trail.","1","10+","Variable","Computer or mobile device; Game software","Successfully travel from Missouri to Oregon without losing your party.","Resource management; Decision-making; Historical knowledge","Installation time (~10 minutes)","Home gaming setup","Low","Teaches history and resource management","Educational Games"
"185","Scrabble","None","Word Game","Beginner to Advanced","A word game where players score points by placing tiles bearing letters onto a game board.","4","10+","50 minutes","Scrabble board; Letter tiles; Tile racks","Score the most points by creating words on the board.","Vocabulary; Spelling; Strategic placement","5 minutes","Tabletop","Low","Enhances vocabulary and spelling skills","Educational Games"
"186","Where in the World Is Carmen Sandiego?","None","Educational Video Game","Beginner to Intermediate","A game where players use geography and history knowledge to track down the elusive Carmen Sandiego.","1","8+","Variable","Computer or mobile device; Game software","Track and capture Carmen Sandiego by solving clues.","Geography; Deductive reasoning; Critical thinking","Installation time (~10 minutes)","Home gaming setup","Low","Teaches geography and improves deductive reasoning","Educational Games"
"187","Code Monkey","None","Programming Game","Beginner","An online game that teaches kids coding concepts through puzzle-solving.","1","Unknown","Variable","Computer; Internet access","Solve puzzles by writing code to control a monkey collecting bananas.","Programming logic; Problem-solving; Sequencing","2 minutes","Home or classroom","Low","Introduces programming concepts and logical thinking","Educational Games"
"188","Typing Instructor","None","Educational Software","Beginner to Intermediate","A software that helps improve typing speed and accuracy through interactive lessons and games.","1","7+","Variable","Computer; Software","Complete typing lessons and games to improve skills.","Typing skills; Hand-eye coordination; Concentration","2 minutes","Home or classroom","Low","Improves typing proficiency and computer literacy","Educational Games"
"189","Stack the States","None","Educational App","Beginner","A mobile app where players learn about U.S. states by answering questions and stacking them to reach a goal line.","1","7+","Variable","Mobile device; App download","Answer questions correctly to stack states and reach the goal.","Geography; Memory; Spatial reasoning","2 minutes","Anywhere","Low","Teaches U.S. geography and state facts","Educational Games"
"190","LeapFrog LeapStart","None","Interactive Learning System","Beginner","An interactive learning system with activity books covering various subjects like reading, math, and science.","1","Unknown","Variable","LeapStart device; Activity books","Complete activities to learn new concepts and skills.","Early literacy; Numeracy; Critical thinking","5 minutes","Home or classroom","Low","Supports early childhood education across multiple subjects","Educational Games"
"191","BrainPOP","None","Educational Website","Beginner to Intermediate","An online platform offering animated videos and quizzes on various educational topics.","Unlimited","Unknown","Variable","Computer or tablet; Internet access","Watch videos and take quizzes to learn about different subjects.","Listening comprehension; Knowledge acquisition; Critical thinking","2 minutes","Home or classroom","Low","Provides engaging content across multiple subjects","Educational Games"
"192","DragonBox Algebra","None","Educational App","Beginner to Intermediate","A game that teaches algebra concepts through fun and interactive puzzles.","1","8+","Variable","Mobile device; App download","Solve puzzles that represent algebraic equations to progress.","Algebraic thinking; Problem-solving; Logical reasoning","2 minutes","Anywhere","Low","Introduces algebra concepts in an intuitive way","Educational Games"
"193","Kerbal Space Program","None","Simulation Game","Intermediate to Advanced","A space flight simulation game where players build and launch rockets to explore space.","1","10+","Variable","Computer or console; Game software","Design and launch spacecraft to complete missions.","Physics; Engineering concepts; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Teaches basic physics and engineering principles","Educational Games"
"194","Prodigy Math Game","None","Educational RPG","Beginner to Intermediate","An online role-playing game where players solve math problems to progress through the game.","1","Unknown","Variable","Computer or tablet; Internet access","Solve math problems to defeat monsters and level up.","Math skills; Problem-solving; Critical thinking","2 minutes","Home or classroom","Low","Enhances math proficiency in an engaging way","Educational Games"
"195","Where in Time Is Carmen Sandiego?","None","Educational Video Game","Beginner to Intermediate","A game where players travel through time to catch Carmen Sandiego, learning history along the way.","1","8+","Variable","Computer or mobile device; Game software","Capture Carmen Sandiego by solving historical clues.","History knowledge; Deductive reasoning; Critical thinking","Installation time (~10 minutes)","Home gaming setup","Low","Teaches history and improves deductive reasoning","Educational Games"
"196","LittleBigPlanet","None","Puzzle-Platformer","Beginner to Intermediate","A game that allows players to create and share their own levels while solving platforming puzzles.","4","7+","Variable","PlayStation console; Game software","Complete levels and create your own using in-game tools.","Creativity; Problem-solving; Design skills","Installation time (~10 minutes)","Home gaming setup","Low","Encourages creativity and basic design concepts","Educational Games"
"197","Eco","None","Simulation Game","Intermediate","A game where players build a civilization in a fully simulated ecosystem, making decisions that impact the environment.","Multiple (online)","10+","Variable","Computer; Game software","Prevent an impending meteor strike by developing technology sustainably.","Environmental science; Collaboration; Resource management","Installation time (~10 minutes)","Home gaming setup","Low","Teaches ecological concepts and sustainable practices","Educational Games"
"198","Scribblenauts Unlimited","None","Puzzle Game","Beginner to Intermediate","A game where players solve puzzles by typing in words to create objects that help them overcome challenges.","1","8+","Variable","Computer or console; Game software","Collect Starites by solving puzzles creatively.","Vocabulary; Creativity; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Enhances vocabulary and encourages creative thinking","Educational Games"
"199","Big Brain Academy","None","Puzzle Game","Beginner to Intermediate","A game featuring a variety of brain-teasing activities that test different cognitive abilities.","8","6+","Variable","Nintendo console; Game cartridge or download","Score high in various mental exercises to assess your brain weight.","Memory; Math skills; Analytical thinking","2 minutes","Home gaming setup","Low","Improves cognitive skills through fun challenges","Educational Games"
"200","SimCity Edu","None","Simulation Game","Intermediate","An educational version of SimCity designed to teach students about urban planning and environmental issues.","1","10+","Variable","Computer; Game software","Build and manage a city while balancing environmental impacts.","Strategic planning; Resource management; Environmental science","Installation time (~10 minutes)","Home or classroom","Low","Teaches urban planning and ecological responsibility","Educational Games"
"201","Minecraft: Education Edition","None","Sandbox","Beginner to Intermediate","A version of Minecraft designed for educational settings, allowing teachers to use the game for various lessons.","Multiple","7+","Variable","Computer or tablet; Game software","Engage in curriculum-based activities within the game world.","Creativity; Collaboration; Problem-solving","Installation time (~10 minutes)","Home or classroom","Low","Facilitates learning across subjects through interactive play","Educational Games"
"202","TypingClub","None","Educational Website","Beginner","An online platform that teaches touch typing through interactive lessons and games.","1","7+","Variable","Computer; Internet access","Complete lessons to improve typing speed and accuracy.","Typing skills; Hand-eye coordination; Concentration","2 minutes","Home or classroom","Low","Improves typing proficiency and computer literacy","Educational Games"
"203","Zoombinis","None","Puzzle Game","Beginner to Intermediate","A game where players guide small creatures called Zoombinis through logical puzzles to reach their home.","1","8+","Variable","Computer or tablet; Game software","Solve puzzles using logic and pattern recognition.","Logical reasoning; Pattern recognition; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Develops logical thinking and problem-solving skills","Educational Games"
"204","Sudoku","None","Math and Logic","Beginner to Advanced","A logic-based number-placement puzzle where the objective is to fill a 9x9 grid with digits so that each column, row, and 3x3 subgrid contain all of the digits from 1 to 9.","1","8+","Variable","Printed Sudoku puzzle or digital version","Fill the grid correctly according to the rules.","Logical reasoning; Problem-solving; Concentration","None","Anywhere","Low","Enhances logical thinking, number skills, and concentration","Educational Games"
"205","Duolingo Games","None","Language Learning","Beginner to Advanced","Interactive language learning games and exercises offered by Duolingo to help users learn new languages in a fun way.","1","6+","Variable","Computer or mobile device; Internet access","Learn and practice a new language through interactive games and exercises.","Language skills; Reading; Listening; Speaking","2 minutes","Anywhere","Low","Improves language proficiency and cultural awareness","Educational Games"
"206","Boggle","None","Language Learning","Beginner to Intermediate","A word game where players attempt to find words in sequences of adjacent letters on a grid of lettered dice.","8","8+","10 minutes per round","Boggle game set (lettered dice and grid)","Find as many words as possible within the time limit.","Vocabulary; Spelling; Quick thinking","2 minutes","Tabletop","Low","Enhances vocabulary and spelling skills","Educational Games"
"207","Civilization VI","Civilization Series","History and Culture","Intermediate to Advanced","A turn-based strategy game where players lead a civilization from the Stone Age to the Information Age.","12","12+","Variable (hours to days)","Computer or console; Game software","Build and expand a civilization to achieve victory through various means.","Strategic planning; Resource management; Historical knowledge","Installation time (~10 minutes)","Home gaming setup","Low","Teaches history, strategic thinking, and resource management","Educational Games"
"208","Age of Empires II: Definitive Edition","None","History and Culture","Intermediate","A real-time strategy game where players develop a civilization, gather resources, and defeat opponents in historical settings.","8","12+","30 minutes to several hours","Computer; Game software","Advance through ages, build an empire, and defeat enemies.","Strategic planning; Resource management; Historical knowledge","Installation time (~10 minutes)","Home gaming setup","Low","Teaches historical events and strategic planning","Educational Games"
"209","Sudoku","None","Math and Logic","Beginner to Advanced","A logic-based number-placement puzzle where the objective is to fill a grid so that each column, row, and subgrid contains all of the digits without repetition.","1","8+","Variable","Printed Sudoku puzzles or digital versions","Fill the grid correctly according to the rules.","Logical reasoning; Problem-solving; Concentration","None","Anywhere","Low","Enhances logical thinking, number skills, and concentration","Educational Games"
"210","Math Blaster","None","Math and Logic","Beginner to Intermediate","A video game that combines arcade-style action with math problems to solve.","1","Unknown","Variable","Computer or console; Game software","Solve math problems to progress through the game levels.","Math skills; Problem-solving; Reflexes","Installation time (~10 minutes)","Home gaming setup","Low","Improves math proficiency and problem-solving skills","Educational Games"
"211","DragonBox","None","Math and Logic","Beginner to Intermediate","A game that teaches algebra concepts through fun and interactive puzzles.","1","8+","Variable","Mobile device or tablet; App download","Solve puzzles that represent algebraic equations to progress.","Algebraic thinking; Problem-solving; Logical reasoning","2 minutes","Anywhere","Low","Introduces algebra concepts in an intuitive way","Educational Games"
"212","Scrabble","None","Language Learning","Beginner to Advanced","A word game where players score points by placing tiles bearing letters onto a game board.","4","10+","50 minutes","Scrabble board; Letter tiles; Tile racks","Score the most points by creating words on the board.","Vocabulary; Spelling; Strategic placement","5 minutes","Tabletop","Low","Enhances vocabulary and spelling skills","Educational Games"
"213","Kerbal Space Program","None","Science and Exploration","Intermediate to Advanced","A space flight simulation game where players build and launch rockets to explore space.","1","10+","Variable","Computer or console; Game software","Design and launch spacecraft to complete missions.","Physics; Engineering concepts; Problem-solving","Installation time (~10 minutes)","Home gaming setup","Low","Teaches basic physics and engineering principles","Educational Games"
"214","Minecraft: Education Edition","None","Science and Exploration","Beginner to Intermediate","A version of Minecraft designed for educational settings, allowing teachers to use the game for various lessons.","Multiple","7+","Variable","Computer or tablet; Game software","Engage in curriculum-based activities within the game world.","Creativity; Collaboration; Problem-solving","Installation time (~10 minutes)","Home or classroom","Low","Facilitates learning across subjects through interactive play","Educational Games"
"215","The Oregon Trail","None","History and Culture","Beginner to Intermediate","A simulation game where players manage resources to travel the historic Oregon Trail.","1","10+","Variable","Computer or mobile device; Game software","Successfully travel from Missouri to Oregon without losing your party.","Resource management; Decision-making; Historical knowledge","Installation time (~10 minutes)","Home gaming setup","Low","Teaches history and resource management","Educational Games"
"216","Charades","None","Acting Game","Beginner","A word-guessing game where one player acts out a word or phrase without speaking, and others guess what it is.","Unlimited","8+","Variable","Slips of paper with words or phrases (optional)","Guess the word or phrase being acted out within the time limit.","Non-verbal communication; Creativity; Teamwork","5 minutes","Living room or open space","Low","Enhances creativity and interpretive skills","Party Games"
"217","Pictionary","None","Drawing Game","Beginner","A game where players try to guess a word or phrase from a teammate's drawings.","Unlimited","8+","Variable","Drawing pad; Pencils; Timer; Word cards","Be the first team to guess the word or phrase being drawn.","Creativity; Visual communication; Teamwork","5 minutes","Tabletop","Low","Encourages creative thinking and visual expression","Party Games"
"218","Taboo","None","Word Game","Beginner to Intermediate","Players describe a word without using a list of forbidden words, while teammates try to guess it.","10","12+","Variable","Taboo cards; Timer; Buzzer","Get your team to guess as many words as possible without saying the taboo words.","Vocabulary; Quick thinking; Communication","5 minutes","Tabletop","Low","Enhances vocabulary and communication skills","Party Games"
"219","Heads Up!","None","Guessing Game","Beginner","A game where players guess the word on their forehead from their friends' clues before the timer runs out.","Unlimited","8+","Variable","Mobile device with the Heads Up! app or word cards","Guess the word displayed without seeing it yourself.","Quick thinking; Communication; Teamwork","2 minutes","Anywhere","Low","Improves communication and quick thinking","Party Games"
"220","Scattergories","None","Word Game","Beginner to Intermediate","Players score points by uniquely naming objects within a set of categories, given an initial letter.","6","12+","30 minutes","Scattergories game set; Category lists; Die; Answer pads","Come up with unique answers for each category starting with the rolled letter.","Vocabulary; Creativity; Time management","5 minutes","Tabletop","Low","Enhances vocabulary and creative thinking","Party Games"
"221","Two Truths and a Lie","None","Icebreaker Game","Beginner","Players take turns stating two truths and one lie about themselves, and others guess which is the lie.","Unlimited","10+","Variable","None","Guess which statement is the lie among the three given.","Social interaction; Deductive reasoning; Listening","None","Anywhere","Low","Promotes social interaction and listening skills","Party Games"
"222","Never Have I Ever","None","Icebreaker Game","Beginner","Players take turns stating something they've never done, and others indicate if they have done it.","Unlimited","12+","Variable","None","Learn interesting facts about others based on their experiences.","Social interaction; Honesty; Communication","None","Anywhere","Low","Encourages openness and social bonding","Party Games"
"223","Catch Phrase","None","Word Game","Beginner","Players describe words or phrases to their teammates without saying the word itself, passing the device before the timer buzzes.","Unlimited","12+","Variable","Catch Phrase device or app","Get your team to guess the word before time runs out.","Vocabulary; Quick thinking; Teamwork","2 minutes","Anywhere","Low","Improves communication and quick thinking","Party Games"
"224","The Resistance","None","Social Deduction Game","Intermediate","Players are members of a resistance group trying to overthrow a corrupt government, but spies lurk among them.","10","13+","30 minutes","Game cards; Tokens","Complete missions successfully without being sabotaged by spies.","Deductive reasoning; Strategy; Communication","5 minutes","Tabletop","Low","Enhances strategic thinking and group dynamics","Party Games"
